fecha,temperatura
20170101T0000,3.3905284
20170101T0100,3.3805285
20170101T0200,3.3905284
20170101T0300,3.4505286
20170101T0400,2.9805286
20170101T0500,2.4905286
20170101T0600,2.2505286
20170101T0700,1.8905287
20170101T0800,1.6505287
20170101T0900,1.7505287
20170101T1000,2.1205285
20170101T1100,3.2305286
20170101T1200,4.290529
20170101T1300,4.5905285
20170101T1400,5.4105287
20170101T1500,5.6105285
20170101T1600,5.3105288
20170101T1700,4.9805284
20170101T1800,4.8805285
20170101T1900,4.2605286
20170101T2000,3.4705286
20170101T2100,3.2005286
20170101T2200,3.0205286
20170101T2300,2.9005284
20170102T0000,2.6805286
20170102T0100,2.4305286
20170102T0200,2.3405285
20170102T0300,2.1405284
20170102T0400,1.9905287
20170102T0500,2.0705285
20170102T0600,2.4105287
20170102T0700,2.2705286
20170102T0800,2.2305286
20170102T0900,2.2005286
20170102T1000,3.0405285
20170102T1100,3.9205287
20170102T1200,4.5105286
20170102T1300,4.3005285
20170102T1400,4.4205284
20170102T1500,3.7705286
20170102T1600,1.7605287
20170102T1700,0.56052864
20170102T1800,0.35052866
20170102T1900,0.40052867
20170102T2000,-0.11947135
20170102T2100,-0.82947135
20170102T2200,-0.8094713
20170102T2300,-0.58947134
20170103T0000,-0.5394713
20170103T0100,-0.22947133
20170103T0200,-0.04947134
20170103T0300,-0.24947134
20170103T0400,-0.44947132
20170103T0500,-0.77947134
20170103T0600,-1.4694713
20170103T0700,-2.4394715
20170103T0800,-2.5494714
20170103T0900,-2.1994715
20170103T1000,-0.6194713
20170103T1100,1.6305287
20170103T1200,2.9605286
20170103T1300,1.3005286
20170103T1400,1.7905287
20170103T1500,2.2605286
20170103T1600,2.2005286
20170103T1700,2.0105286
20170103T1800,2.1005285
20170103T1900,0.9605287
20170103T2000,0.030528657
20170103T2100,-0.09947134
20170103T2200,-0.19947135
20170103T2300,-0.11947135
20170104T0000,-0.029471342
20170104T0100,0.16052866
20170104T0200,0.47052866
20170104T0300,1.0505286
20170104T0400,1.2605287
20170104T0500,1.5805286
20170104T0600,1.7205287
20170104T0700,1.7105286
20170104T0800,1.7305287
20170104T0900,1.9805287
20170104T1000,2.7705286
20170104T1100,3.2905285
20170104T1200,3.0405285
20170104T1300,2.4905286
20170104T1400,2.4805286
20170104T1500,2.7105286
20170104T1600,2.2505286
20170104T1700,1.6605287
20170104T1800,1.2905287
20170104T1900,1.4305286
20170104T2000,1.9205287
20170104T2100,2.4605286
20170104T2200,2.4105287
20170104T2300,1.3905287
20170105T0000,1.6105287
20170105T0100,1.4005287
20170105T0200,1.4005287
20170105T0300,1.6105287
20170105T0400,0.9405287
20170105T0500,-0.20947134
20170105T0600,-0.8694713
20170105T0700,-0.94947135
20170105T0800,-0.9194713
20170105T0900,-0.6094713
20170105T1000,-0.43947133
20170105T1100,0.14052865
20170105T1200,0.48052865
20170105T1300,0.53052866
20170105T1400,1.2705287
20170105T1500,0.6305287
20170105T1600,0.50052863
20170105T1700,0.29052866
20170105T1800,-0.89947134
20170105T1900,-3.0894713
20170105T2000,-4.4394712
20170105T2100,-3.2594714
20170105T2200,-2.5594714
20170105T2300,-2.5494714
20170106T0000,-2.6594715
20170106T0100,-3.1694715
20170106T0200,-2.9094715
20170106T0300,-2.4494715
20170106T0400,-1.7894714
20170106T0500,-2.5894713
20170106T0600,-3.9594715
20170106T0700,-4.4194713
20170106T0800,-4.9094715
20170106T0900,-4.8394713
20170106T1000,-3.7394714
20170106T1100,-2.8794715
20170106T1200,-2.0094714
20170106T1300,-1.7794713
20170106T1400,-1.5894713
20170106T1500,-1.5894713
20170106T1600,-1.8294713
20170106T1700,-2.3494716
20170106T1800,-3.1494715
20170106T1900,-4.3394713
20170106T2000,-4.1094713
20170106T2100,-4.5494714
20170106T2200,-4.959471
20170106T2300,-5.2694716
20170107T0000,-5.3494716
20170107T0100,-5.4394712
20170107T0200,-5.5494714
20170107T0300,-5.6294713
20170107T0400,-5.7494717
20170107T0500,-6.0594716
20170107T0600,-6.2794714
20170107T0700,-6.1494713
20170107T0800,-5.8394713
20170107T0900,-5.3294716
20170107T1000,-3.8094714
20170107T1100,-2.4294715
20170107T1200,-0.93947136
20170107T1300,-0.5394713
20170107T1400,0.050528657
20170107T1500,0.39052868
20170107T1600,0.65052867
20170107T1700,0.6305287
20170107T1800,0.7505287
20170107T1900,0.37052867
20170107T2000,0.09052865
20170107T2100,-0.5394713
